ds,pp,pt,m,val,rank
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-age,,
adult,fairsmote,de,eod-race,0.01017772162276,1.0
adult,fairsmote,de,eod-race,0.008214446425893,1.0
adult,fairsmote,de,eod-race,0.01018080604648,1.0
