pt,m,val,rank
moead,SDAR-,5412.86106217176,1.0
moead,SDAR-,3691.72671122916,1.0
moead,SDAR-,3691.72671122916,1.0
moead,SDAR-,4736.0805435485,1.0
moead,SDAR-,4736.0805435485,1.0
moead,SDAR-,5237.62124681381,1.0
moead,SDAR-,5237.62124681381,1.0
nsga-ii,Delta+,0.218885178253391,1.0
nsga-ii,Delta+,0.218885178253391,1.0
nsga-ii,Delta+,0.302215197365251,1.0
nsga-ii,Delta+,0.302215197365251,1.0
nsga-ii,Delta+,0.291582888407912,1.0
nsga-ii,Delta+,0.291582888407912,1.0
nsga-ii,Delta+,0.320274323847428,1.0
nsga-ii,Delta+,0.320274323847428,1.0
nsga-ii,Delta+,0.29834390633835,1.0
nsga-ii,Delta+,0.29834390633835,1.0
nsga-ii,Delta+,0.342580779864843,1.0
nsga-ii,Delta+,0.342580779864843,1.0
nsga-ii,Delta+,0.348000188539014,1.0
nsga-ii,Delta+,0.348000188539014,1.0
nsga-ii,Delta+,0.260479746499583,1.0
nsga-ii,Delta+,0.260479746499583,1.0
nsga-ii,Delta+,0.382057067167833,1.0
nsga-ii,Delta+,0.382057067167833,1.0
nsga-ii,Delta+,0.2827761980135,1.0
nsga-ii,Delta+,0.2827761980135,1.0
nsga-ii,Delta+,0.350537861493036,1.0
nsga-ii,Delta+,0.350537861493036,1.0
nsga-ii,Delta+,0.316112955956535,1.0
nsga-ii,Delta+,0.316112955956535,1.0
nsga-ii,Delta+,0.338179004591262,1.0
nsga-ii,Delta+,0.338179004591262,1.0
nsga-ii,Delta+,0.32307511324246,1.0
nsga-ii,Delta+,0.32307511324246,1.0
nsga-ii,Delta+,0.34008824754685,1.0
nsga-ii,Delta+,0.34008824754685,1.0
nsga-ii,Delta+,0.28563986543209,1.0
nsga-ii,Delta+,0.28563986543209,1.0
nsga-ii,Delta+,0.331329384328813,1.0
nsga-ii,Delta+,0.331329384328813,1.0
nsga-ii,Delta+,0.306934189631708,1.0
nsga-ii,Delta+,0.306934189631708,1.0
nsga-ii,Delta+,0.318987996624829,1.0
nsga-ii,Delta+,0.318987996624829,1.0
nsga-ii,Delta+,0.251300274434805,1.0
nsga-ii,Delta+,0.251300274434805,1.0
nsga-ii,Delta+,0.318815304853404,1.0
nsga-ii,Delta+,0.318815304853404,1.0
nsga-ii,Duration?,417.569502830505,
nsga-ii,Duration?,414.418203830719,
nsga-ii,Duration?,421.264708995819,
nsga-ii,Duration?,415.447202444077,
nsga-ii,Duration?,420.737952470779,
nsga-ii,Duration?,420.631445169449,
nsga-ii,Duration?,418.00293135643,
nsga-ii,Duration?,416.162042856216,
